Local Authority,Year,Reception Overweight,Year 6 Overweight,Reception Obese,Year 6 Obese
Kingston Upon Thames,2012,10.02087683,13.34792123,6.106471816,16.99489424
Kingston Upon Thames,2013,11.1814,13.1783,5.9599,15.3629
Kingston Upon Thames,2014,9.553158706,14.001207,5.649717514,15.75135788
Kingston Upon Thames,2015,8.737864078,12.96296296,5.518650996,16.90561529
Kingston Upon Thames,2016,10.2808691,13.53431687,5.034446211,15.26619628
Kingston Upon Thames,2017,9.015112038,11.15492958,4.898384575,14.81690141
Kingston Upon Thames,2018,9.501312336,13.75802998,5.826771654,14.23982869
Lambeth,2006,13.05715784,16.45496536,13.26691138,25.11547344
Lambeth,2007,14.38467808,15.35665607,11.69519152,23.21671967
Lambeth,2008,13.96940419,15.2764761,13.80837359,25.25773196
Lambeth,2009,13.54479211,16.86574295,12.85897985,24.74916388
Lambeth,2010,12.8949302,15.70498915,11.57237325,23.94793926
Lambeth,2011,11.92075218,14.78298238,10.74546676,23.97937258
Lambeth,2012,12.16596343,15.92153285,11.32208158,23.40328467
Lambeth,2013,12.5135,16.0992,12.2618,25.0525
Lambeth,2014,13.32422275,14.63129146,10.52271951,27.11666016
Lambeth,2015,12.62904336,16.14173228,10.80523056,22.95275591
Lambeth,2016,13.58921162,13.28671329,10.51175657,24.58594038
Lambeth,2017,12.62135922,14.22034495,10.14395715,24.35762056
Lambeth,2018,12.32734807,13.67255106,10.35911602,23.5721703
Lewisham,2006,15.65150347,15.7323689,14.41788743,19.52983725
Lewisham,2007,14.4,14.71054718,10.55238095,25.29738303
Lewisham,2008,13.20495186,15.21826191,12.03576341,22.10652783
Lewisham,2009,14.18415708,16.2638263,13.60866622,24.37525604
Lewisham,2010,13.76317421,14.76725522,11.06633602,24.35794543
Lewisham,2011,13.37263419,15.33057851,11.4179336,25.04132231
Lewisham,2012,14.30575035,15.06961507,10.68723703,23.25962326
Lewisham,2013,13.8228,15.0075,10.8116,24.2889
Lewisham,2014,12.72475795,14.70073504,10.98201936,24.22121106
Lewisham,2015,12.34533957,13.66834171,10.28320044,23.58458961
Lewisham,2016,11.94326241,14.76903058,9.90070922,23.38972023
Lewisham,2017,9.167418094,13.46338343,7.424105801,24.27246562
Lewisham,2018,10.95471236,13.741162,9.853121175,22.44082385
Merton,2006,11.84990125,15.83113456,12.11323239,18.27176781
Merton,2007,12.31497928,15.51515152,10.89402013,21.33333333
Merton,2008,10.94771242,15.71428571,8.71459695,18.63945578
Merton,2009,12.53047294,14.29447853,10.38517796,19.50920245
Merton,2010,11.01298701,16.464582,8.363636364,19.27249521
Merton,2011,11.72472387,14.95548961,9.558198811,18.99109792
Merton,2012,12.15306981,13.71199082,8.957106812,21.28514056
Merton,2013,11.8127,16.0674,9.1065,20.2809
Merton,2014,11.10640102,14.08450704,7.715133531,21.64840897
Merton,2015,11.32321041,15.13761468,7.462039046,19.21508665
Merton,2016,12.8152129,12.80241935,8.681273253,21.62298387
Merton,2017,10.76923077,14.09749671,8.333333333,21.73913043
Merton,2018,12.34790446,13.80662021,7.796304642,19.72996516
Newham,2006,10.06913135,14.71523562,14.42741208,23.56172304
Newham,2007,12.36777868,14.53040251,14.04936263,25.60662289
Newham,2008,11.99014509,14.62703963,14.18012592,24.56293706
Newham,2009,11.98910082,14.46749654,13.22764429,25.86445367
Newham,2010,11.22592767,15.09538291,12.91686238,24.7442632
Newham,2011,10.48680619,14.18338109,12.98908098,25.61604585
Newham,2012,12.47818499,14.67025572,12.32547993,27.29475101
Newham,2013,10.6476,14.804,12.4453,25.1324
Newham,2014,11.84440559,15.47497446,13.76748252,27.37487232
Newham,2015,12.36452112,15.70881226,12.54147313,27.5862069
Newham,2016,10.9540636,16.04212589,12.27915194,26.52461425
Newham,2017,9.874946097,16.14687016,12.8072445,27.40544127
Newham,2018,10.93890386,15.16261038,12.30907457,27.7191471
Redbridge,2006,9.810357403,13.72837689,10.43034282,20.46374678
Redbridge,2007,11.13607189,13.56391997,11.3928113,20.71888776
Redbridge,2008,12.04972904,13.74558304,10.80650303,20.70671378
Redbridge,2009,11.41595711,14.91258142,11.16367077,19.50634213
Redbridge,2010,11.72804533,13.57210179,12.1529745,23.18567389
Redbridge,2011,13.03070761,14.90414348,11.42857143,23.16017316
Redbridge,2012,10.46894804,14.98060281,10.24081115,21.27723068
Redbridge,2013,9.2683,14.9496,10.475,22.6764
Redbridge,2014,9.932617919,15.48672566,10.73122036,22.87057522
Redbridge,2015,8.933643171,15.91599889,9.682416731,23.29372755
Redbridge,2016,10.89108911,15.53294055,11.92948563,23.620782
Redbridge,2017,10.34823413,15.04012426,11.18794764,25.29122444
Redbridge,2018,9.816559246,15.66566567,9.990084284,24.0990991
Richmond Upon Thames,2006,11.43523921,12.19858156,6.359393232,13.12056738
Richmond Upon Thames,2007,11.12920738,13.16526611,6.243213898,12.39495798
Richmond Upon Thames,2008,11.15973742,12.18729955,5.90809628,11.73829378
Richmond Upon Thames,2009,11.01956746,14.44582814,6.179196704,12.07970112
Richmond Upon Thames,2010,11.2192623,13.93979058,6.352459016,10.66753927
Richmond Upon Thames,2011,11.11627907,13.65099807,6.511627907,12.94269156
Richmond Upon Thames,2012,10.35874439,12.28183581,5.919282511,13.8332256
Richmond Upon Thames,2013,12.0667,13.3057,6.0114,11.0585
Richmond Upon Thames,2014,11.2670068,11.08433735,4.591836735,11.20481928
Richmond Upon Thames,2015,11.3814433,12.25359616,5.278350515,12.57325519
Richmond Upon Thames,2016,11.21149897,12.73917422,5.503080082,13.94763343
Richmond Upon Thames,2017,10.6302521,10.90024331,5.546218487,12.26277372
Richmond Upon Thames,2018,10.42128603,12.15791835,6.119733925,11.21579183
Southwark,2006,14.01043758,13.93034826,13.20754717,27.04658526
Southwark,2007,13.40401363,15.86557249,14.42635365,25.98671356
Southwark,2008,13.95717684,13.27287716,14.1554322,26.71063479
Southwark,2009,14.87771739,14.33333333,14.74184783,25.95833333
Southwark,2010,14.69140477,15.38140892,13.78265808,26.46936223
Southwark,2011,13.77289377,14.27346764,12.05128205,28.46120874
Southwark,2012,12.61538462,17.51171709,14.03846154,26.67234768
Southwark,2013,14.9566,17.155,13.0589,26.6769
Southwark,2014,13.41347675,15.65849923,13.03385005,27.98621746
Southwark,2015,13.30343797,15.13808387,12.07772795,27.58267985
Southwark,2016,13.29039813,16.37811634,12.88056206,28.04709141
Southwark,2017,14.464,15.61238223,11.488,24.62987887
Southwark,2018,13.99328859,14.01808786,12.71812081,25.87209302
Sutton,2006,12.34428086,17.112922,11.0419026,16.23981374
Sutton,2007,11.40301845,13.94722671,8.272778088,15.88583737
Sutton,2008,12.17672414,14.13612565,8.351293103,18.03374055
Sutton,2009,13.68894602,14.3901068,7.390745501,17.3693086
Sutton,2010,11.57608696,14.67688938,8.152173913,17.96276013
Sutton,2011,11.86770428,13.93670183,8.414396887,19.26707385
Sutton,2012,12.04873646,13.34841629,7.987364621,19.62669683
Sutton,2013,11.8534,15.8738,7.3707,17.6836
Sutton,2014,9.64873277,12.55936675,6.26945309,17.36147757
Sutton,2015,11.18421053,13.74533831,7.280701754,18.38039425
Sutton,2016,10.60100167,16.73247779,6.761268781,18.01579467
Sutton,2017,10.68935428,14.22039323,7.329842932,19.1129401
Sutton,2018,11.58564289,15.68123393,7.950931395,19.83718937
Tower Hamlets,2006,11.13861386,14.21940928,14.64521452,22.99578059
Tower Hamlets,2007,10.43412034,14.80129765,13.74714395,24.45255474
Tower Hamlets,2008,10.45677614,13.71736428,13.4390336,25.69415665
Tower Hamlets,2009,11.328125,15.64822461,13.3203125,25.72254335
Tower Hamlets,2010,11.21138494,14.15525114,12.66921208,25.61228726
Tower Hamlets,2011,10.77865898,15.12370311,13.12184571,25.09976057
Tower Hamlets,2012,10.92651757,14.91564417,12.65175719,26.45705521
Tower Hamlets,2013,11.4583,17.1606,12.2475,25.1372
Tower Hamlets,2014,10.50355267,15.06944444,11.89372876,26.66666667
Tower Hamlets,2015,10.46728972,13.84992987,11.58878505,27.10378682
Tower Hamlets,2016,11.45218418,15.69403231,12.01298701,26.47543686
Tower Hamlets,2017,10.25324274,14.89430894,10.53119209,26.73170732
Tower Hamlets,2018,10.06647673,16.06234097,11.74422286,25.34987277
Waltham Forest,2006,10.3255814,14.570966,12.27906977,23.25957906
Waltham Forest,2007,11.49293624,14.02640264,10.42382589,22.8960396
Waltham Forest,2008,10.19189765,13.76986038,9.936034115,20.55849783
Waltham Forest,2009,11.27189642,14.24281424,11.0053313,21.06392106
Waltham Forest,2010,10.67180971,14.51804839,9.771777563,20.34906783
Waltham Forest,2011,12.12686567,14.64708282,9.577114428,23.54141167
Waltham Forest,2012,10.63892145,15.12158055,10.40445487,22.91033435
Waltham Forest,2013,11.4999,14.4074,11.3278,23.3854
Waltham Forest,2014,11.68519075,14.15896488,11.26464404,21.66358595
Waltham Forest,2015,13.12230216,13.68534483,10.61870504,26.29310345
Waltham Forest,2016,12.20023981,14.76126429,9.682254197,25.52118359
Waltham Forest,2017,12.90417402,15.43733681,9.406231628,24.34725849
Waltham Forest,2018,11.35235732,14.47368421,10.57692308,23.71553885
Wandsworth,2006,10.36806636,13.82916909,10.00518403,20.51133062
Wandsworth,2007,11.55339806,14.83547128,10.29126214,24.03792526
Wandsworth,2008,10.85870059,15.41313559,10.17719219,20.02118644
Wandsworth,2009,12.43825775,15.25679758,10.01347104,21.39979859
Wandsworth,2010,13.06597671,15.28795812,9.788702027,20.89005236
Wandsworth,2011,12.2800306,15.32884516,10.3289977,19.98964267
Wandsworth,2012,12.20379147,14.97683994,9.834123223,20.22645394
Wandsworth,2013,12.147,14.2785,7.6596,20.2825
Wandsworth,2014,11.96308129,12.96030607,8.164714235,20.65997131
Wandsworth,2015,11.20499633,14.60618146,7.641440118,19.34197408
Wandsworth,2016,10.90844063,13.58082707,7.296137339,20.86466165
Wandsworth,2017,11.23636364,13.39130435,7.636363636,19.52173913
Wandsworth,2018,10.80468455,14.36631944,6.611258028,19.27083333
Westminster,2006,11.31805158,15.43156059,10.38681948,21.79598954
Westminster,2007,12.41496599,15.05576208,11.81972789,24.81412639
Westminster,2008,11.63498099,15.57446809,14.67680608,23.57446809
Westminster,2009,12.01890614,14.95759445,12.22147198,28.60447186
Westminster,2010,12.71186441,16.38624726,11.99478488,22.82370154
Westminster,2011,12.20387653,15.50079491,11.27063891,24.80127186
Westminster,2012,12.04065676,14.09090909,11.57154027,25.3030303
Westminster,2013,12.4501,14.4042,10.6525,25.641
Westminster,2014,12.09677419,14.90909091,9.530791789,24.45454545
Westminster,2015,12.34832263,14.47267129,10.84939329,24.94226328
Westminster,2016,14.03773585,15.22693997,10.03773585,26.35431918
Westminster,2017,10.53511706,16.22807018,7.859531773,22.88011696
Westminster,2018,10.93901258,14.91628615,9.293320426,23.97260274
